,Date,AQI,Sample_Duration,Pollutant_Type
288,2017-11-06,5,24-HR BLK AVG,81102
289,2017-11-07,5,24-HR BLK AVG,81102
290,2017-11-08,5,24-HR BLK AVG,81102
291,2017-11-09,4,24-HR BLK AVG,81102
292,2017-11-10,7,24-HR BLK AVG,81102
293,2017-11-11,7,24-HR BLK AVG,81102
294,2017-11-12,6,24-HR BLK AVG,81102
295,2017-11-13,6,24-HR BLK AVG,81102
296,2017-11-14,4,24-HR BLK AVG,81102
297,2017-11-15,4,24-HR BLK AVG,81102
298,2017-11-16,4,24-HR BLK AVG,81102
299,2017-11-17,8,24-HR BLK AVG,81102
300,2017-11-18,10,24-HR BLK AVG,81102
301,2017-11-19,5,24-HR BLK AVG,81102
302,2017-11-20,7,24-HR BLK AVG,81102
303,2017-11-21,6,24-HR BLK AVG,81102
304,2017-11-22,7,24-HR BLK AVG,81102
305,2017-11-23,4,24-HR BLK AVG,81102
306,2017-11-24,5,24-HR BLK AVG,81102
307,2017-11-25,4,24-HR BLK AVG,81102
308,2017-11-26,3,24-HR BLK AVG,81102
309,2017-11-27,5,24-HR BLK AVG,81102
310,2017-11-28,5,24-HR BLK AVG,81102
311,2017-11-29,5,24-HR BLK AVG,81102
312,2017-12-01,6,24-HR BLK AVG,81102
313,2017-12-02,5,24-HR BLK AVG,81102
314,2017-12-03,5,24-HR BLK AVG,81102
315,2017-12-04,6,24-HR BLK AVG,81102
316,2017-12-05,4,24-HR BLK AVG,81102
317,2017-12-06,4,24-HR BLK AVG,81102
318,2017-12-07,5,24-HR BLK AVG,81102
319,2017-12-08,5,24-HR BLK AVG,81102
320,2017-12-09,6,24-HR BLK AVG,81102
321,2017-12-10,6,24-HR BLK AVG,81102
322,2017-12-11,6,24-HR BLK AVG,81102
323,2017-12-12,6,24-HR BLK AVG,81102
324,2017-12-13,6,24-HR BLK AVG,81102
325,2017-12-14,5,24-HR BLK AVG,81102
326,2017-12-15,6,24-HR BLK AVG,81102
327,2017-12-16,4,24-HR BLK AVG,81102
328,2017-12-17,2,24-HR BLK AVG,81102
329,2017-12-18,4,24-HR BLK AVG,81102
330,2017-12-19,4,24-HR BLK AVG,81102
331,2017-12-20,5,24-HR BLK AVG,81102
332,2017-12-21,4,24-HR BLK AVG,81102
333,2017-12-22,5,24-HR BLK AVG,81102
334,2017-12-23,4,24-HR BLK AVG,81102
335,2017-12-24,4,24-HR BLK AVG,81102
336,2017-12-25,3,24-HR BLK AVG,81102
337,2017-12-26,3,24-HR BLK AVG,81102
338,2017-12-27,5,24-HR BLK AVG,81102
339,2017-12-28,5,24-HR BLK AVG,81102
340,2017-12-29,6,24-HR BLK AVG,81102
341,2017-12-30,3,24-HR BLK AVG,81102
342,2017-02-07,15,24-HR BLK AVG,88101
343,2017-02-07,15,24-HR BLK AVG,88101
344,2017-02-07,15,24-HR BLK AVG,88101
345,2017-02-07,15,24-HR BLK AVG,88101
346,2017-02-07,15,24-HR BLK AVG,88101
347,2017-02-07,15,24-HR BLK AVG,88101
348,2017-02-08,19,24-HR BLK AVG,88101
349,2017-02-08,19,24-HR BLK AVG,88101
350,2017-02-08,19,24-HR BLK AVG,88101
351,2017-02-08,19,24-HR BLK AVG,88101
352,2017-02-08,19,24-HR BLK AVG,88101
353,2017-02-08,19,24-HR BLK AVG,88101
354,2017-02-09,26,24-HR BLK AVG,88101
355,2017-02-09,26,24-HR BLK AVG,88101
356,2017-02-09,26,24-HR BLK AVG,88101
357,2017-02-09,26,24-HR BLK AVG,88101
358,2017-02-09,26,24-HR BLK AVG,88101
359,2017-02-09,26,24-HR BLK AVG,88101
360,2017-02-10,11,24-HR BLK AVG,88101
361,2017-02-10,11,24-HR BLK AVG,88101
362,2017-02-10,11,24-HR BLK AVG,88101
363,2017-02-10,11,24-HR BLK AVG,88101
364,2017-02-10,11,24-HR BLK AVG,88101
365,2017-02-10,11,24-HR BLK AVG,88101
366,2017-02-11,6,24-HR BLK AVG,88101
367,2017-02-11,6,24-HR BLK AVG,88101
368,2017-02-11,6,24-HR BLK AVG,88101
369,2017-02-11,6,24-HR BLK AVG,88101
370,2017-02-11,6,24-HR BLK AVG,88101
371,2017-02-11,6,24-HR BLK AVG,88101
372,2017-02-12,13,24-HR BLK AVG,88101
373,2017-02-12,13,24-HR BLK AVG,88101
374,2017-02-12,13,24-HR BLK AVG,88101
375,2017-02-12,13,24-HR BLK AVG,88101
376,2017-02-12,13,24-HR BLK AVG,88101
377,2017-02-12,13,24-HR BLK AVG,88101
378,2017-02-13,0,24-HR BLK AVG,88101
379,2017-02-13,0,24-HR BLK AVG,88101
380,2017-02-13,0,24-HR BLK AVG,88101
381,2017-02-13,0,24-HR BLK AVG,88101
382,2017-02-13,0,24-HR BLK AVG,88101
383,2017-02-13,0,24-HR BLK AVG,88101
384,2017-02-14,15,24-HR BLK AVG,88101
385,2017-02-14,15,24-HR BLK AVG,88101
386,2017-02-14,15,24-HR BLK AVG,88101
387,2017-02-14,15,24-HR BLK AVG,88101
388,2017-02-14,15,24-HR BLK AVG,88101
389,2017-02-14,15,24-HR BLK AVG,88101
390,2017-02-15,24,24-HR BLK AVG,88101
391,2017-02-15,24,24-HR BLK AVG,88101
392,2017-02-15,24,24-HR BLK AVG,88101
393,2017-02-15,24,24-HR BLK AVG,88101
394,2017-02-15,24,24-HR BLK AVG,88101
395,2017-02-15,24,24-HR BLK AVG,88101
396,2017-02-16,6,24-HR BLK AVG,88101
397,2017-02-16,6,24-HR BLK AVG,88101
398,2017-02-16,6,24-HR BLK AVG,88101
399,2017-02-16,6,24-HR BLK AVG,88101
400,2017-02-16,6,24-HR BLK AVG,88101
401,2017-02-16,6,24-HR BLK AVG,88101
402,2017-02-17,5,24-HR BLK AVG,88101
403,2017-02-17,5,24-HR BLK AVG,88101
404,2017-02-17,5,24-HR BLK AVG,88101
405,2017-02-17,5,24-HR BLK AVG,88101
406,2017-02-17,5,24-HR BLK AVG,88101
407,2017-02-17,5,24-HR BLK AVG,88101
408,2017-02-18,13,24-HR BLK AVG,88101
409,2017-02-18,13,24-HR BLK AVG,88101
410,2017-02-18,13,24-HR BLK AVG,88101
411,2017-02-18,13,24-HR BLK AVG,88101
412,2017-02-18,13,24-HR BLK AVG,88101
413,2017-02-18,13,24-HR BLK AVG,88101
414,2017-02-19,19,24-HR BLK AVG,88101
415,2017-02-19,19,24-HR BLK AVG,88101
416,2017-02-19,19,24-HR BLK AVG,88101
417,2017-02-19,19,24-HR BLK AVG,88101
418,2017-02-19,19,24-HR BLK AVG,88101
419,2017-02-19,19,24-HR BLK AVG,88101
420,2017-02-20,26,24-HR BLK AVG,88101
421,2017-02-20,26,24-HR BLK AVG,88101
422,2017-02-20,26,24-HR BLK AVG,88101
423,2017-02-20,26,24-HR BLK AVG,88101
424,2017-02-20,26,24-HR BLK AVG,88101
425,2017-02-20,26,24-HR BLK AVG,88101
426,2017-02-21,3,24-HR BLK AVG,88101
427,2017-02-21,3,24-HR BLK AVG,88101
428,2017-02-21,3,24-HR BLK AVG,88101
429,2017-02-21,3,24-HR BLK AVG,88101
430,2017-02-21,3,24-HR BLK AVG,88101
431,2017-02-21,3,24-HR BLK AVG,88101
432,2017-02-22,20,24-HR BLK AVG,88101
433,2017-02-22,20,24-HR BLK AVG,88101
434,2017-02-22,20,24-HR BLK AVG,88101
435,2017-02-22,20,24-HR BLK AVG,88101
436,2017-02-22,20,24-HR BLK AVG,88101
437,2017-02-22,20,24-HR BLK AVG,88101
438,2017-02-23,33,24-HR BLK AVG,88101
439,2017-02-23,33,24-HR BLK AVG,88101
440,2017-02-23,33,24-HR BLK AVG,88101
441,2017-02-23,33,24-HR BLK AVG,88101
442,2017-02-23,33,24-HR BLK AVG,88101
443,2017-02-23,33,24-HR BLK AVG,88101
444,2017-02-24,28,24-HR BLK AVG,88101
445,2017-02-24,28,24-HR BLK AVG,88101
446,2017-02-24,28,24-HR BLK AVG,88101
447,2017-02-24,28,24-HR BLK AVG,88101
448,2017-02-24,28,24-HR BLK AVG,88101
449,2017-02-24,28,24-HR BLK AVG,88101
450,2017-02-25,37,24-HR BLK AVG,88101
451,2017-02-25,37,24-HR BLK AVG,88101
452,2017-02-25,37,24-HR BLK AVG,88101
453,2017-02-25,37,24-HR BLK AVG,88101
454,2017-02-25,37,24-HR BLK AVG,88101
455,2017-02-25,37,24-HR BLK AVG,88101
456,2017-02-26,27,24-HR BLK AVG,88101
457,2017-02-26,27,24-HR BLK AVG,88101
458,2017-02-26,27,24-HR BLK AVG,88101
459,2017-02-26,27,24-HR BLK AVG,88101
460,2017-02-26,27,24-HR BLK AVG,88101
461,2017-02-26,27,24-HR BLK AVG,88101
462,2017-02-27,28,24-HR BLK AVG,88101
463,2017-02-27,28,24-HR BLK AVG,88101
464,2017-02-27,28,24-HR BLK AVG,88101
465,2017-02-27,28,24-HR BLK AVG,88101
466,2017-02-27,28,24-HR BLK AVG,88101
467,2017-02-27,28,24-HR BLK AVG,88101
468,2017-02-28,17,24-HR BLK AVG,88101
469,2017-02-28,17,24-HR BLK AVG,88101
470,2017-02-28,17,24-HR BLK AVG,88101
471,2017-02-28,17,24-HR BLK AVG,88101
472,2017-02-28,17,24-HR BLK AVG,88101
473,2017-02-28,17,24-HR BLK AVG,88101
474,2017-03-01,25,24-HR BLK AVG,88101
475,2017-03-01,25,24-HR BLK AVG,88101
476,2017-03-01,25,24-HR BLK AVG,88101
477,2017-03-01,25,24-HR BLK AVG,88101
478,2017-03-01,25,24-HR BLK AVG,88101
479,2017-03-01,25,24-HR BLK AVG,88101
480,2017-03-02,41,24-HR BLK AVG,88101
481,2017-03-02,41,24-HR BLK AVG,88101
482,2017-03-02,41,24-HR BLK AVG,88101
483,2017-03-02,41,24-HR BLK AVG,88101
484,2017-03-02,41,24-HR BLK AVG,88101
485,2017-03-02,41,24-HR BLK AVG,88101
486,2017-03-03,39,24-HR BLK AVG,88101
487,2017-03-03,39,24-HR BLK AVG,88101
488,2017-03-03,39,24-HR BLK AVG,88101
489,2017-03-03,39,24-HR BLK AVG,88101
490,2017-03-03,39,24-HR BLK AVG,88101
491,2017-03-03,39,24-HR BLK AVG,88101
492,2017-03-04,24,24-HR BLK AVG,88101
493,2017-03-04,24,24-HR BLK AVG,88101
494,2017-03-04,24,24-HR BLK AVG,88101
495,2017-03-04,24,24-HR BLK AVG,88101
496,2017-03-04,24,24-HR BLK AVG,88101
497,2017-03-04,24,24-HR BLK AVG,88101
498,2017-03-05,10,24-HR BLK AVG,88101
499,2017-03-05,10,24-HR BLK AVG,88101
500,2017-03-05,10,24-HR BLK AVG,88101
501,2017-03-05,10,24-HR BLK AVG,88101
502,2017-03-05,10,24-HR BLK AVG,88101
503,2017-03-05,10,24-HR BLK AVG,88101
504,2017-03-06,13,24-HR BLK AVG,88101
505,2017-03-06,13,24-HR BLK AVG,88101
506,2017-03-06,13,24-HR BLK AVG,88101
507,2017-03-06,13,24-HR BLK AVG,88101
508,2017-03-06,13,24-HR BLK AVG,88101
509,2017-03-06,13,24-HR BLK AVG,88101
510,2017-03-10,11,24-HR BLK AVG,88101
511,2017-03-10,11,24-HR BLK AVG,88101
512,2017-03-10,11,24-HR BLK AVG,88101
513,2017-03-10,11,24-HR BLK AVG,88101
514,2017-03-10,11,24-HR BLK AVG,88101
515,2017-03-10,11,24-HR BLK AVG,88101
516,2017-03-11,12,24-HR BLK AVG,88101
517,2017-03-11,12,24-HR BLK AVG,88101
518,2017-03-11,12,24-HR BLK AVG,88101
519,2017-03-11,12,24-HR BLK AVG,88101
520,2017-03-11,12,24-HR BLK AVG,88101
521,2017-03-11,12,24-HR BLK AVG,88101
522,2017-03-12,12,24-HR BLK AVG,88101
523,2017-03-12,12,24-HR BLK AVG,88101
524,2017-03-12,12,24-HR BLK AVG,88101
525,2017-03-12,12,24-HR BLK AVG,88101
526,2017-03-12,12,24-HR BLK AVG,88101
527,2017-03-12,12,24-HR BLK AVG,88101
528,2017-03-13,11,24-HR BLK AVG,88101
529,2017-03-13,11,24-HR BLK AVG,88101
530,2017-03-13,11,24-HR BLK AVG,88101
531,2017-03-13,11,24-HR BLK AVG,88101
532,2017-03-13,11,24-HR BLK AVG,88101
533,2017-03-13,11,24-HR BLK AVG,88101
534,2017-03-14,23,24-HR BLK AVG,88101
535,2017-03-14,23,24-HR BLK AVG,88101
536,2017-03-14,23,24-HR BLK AVG,88101
537,2017-03-14,23,24-HR BLK AVG,88101
538,2017-03-14,23,24-HR BLK AVG,88101
539,2017-03-14,23,24-HR BLK AVG,88101
540,2017-03-15,46,24-HR BLK AVG,88101
541,2017-03-15,46,24-HR BLK AVG,88101
542,2017-03-15,46,24-HR BLK AVG,88101
543,2017-03-15,46,24-HR BLK AVG,88101
544,2017-03-15,46,24-HR BLK AVG,88101
545,2017-03-15,46,24-HR BLK AVG,88101
546,2017-03-16,51,24-HR BLK AVG,88101
547,2017-03-16,51,24-HR BLK AVG,88101
548,2017-03-16,51,24-HR BLK AVG,88101
549,2017-03-16,51,24-HR BLK AVG,88101
550,2017-03-16,51,24-HR BLK AVG,88101
551,2017-03-16,51,24-HR BLK AVG,88101
552,2017-03-17,11,24-HR BLK AVG,88101
553,2017-03-17,11,24-HR BLK AVG,88101
554,2017-03-17,11,24-HR BLK AVG,88101
555,2017-03-17,11,24-HR BLK AVG,88101
556,2017-03-17,11,24-HR BLK AVG,88101
557,2017-03-17,11,24-HR BLK AVG,88101
558,2017-03-18,23,24-HR BLK AVG,88101
559,2017-03-18,23,24-HR BLK AVG,88101
