,Date,AQI,Sample_Duration,Pollutant_Type
318,2010-01-12,5,1 HOUR,42602
319,2010-01-12,5,1 HOUR,42602
320,2010-01-13,4,1 HOUR,42602
321,2010-01-13,4,1 HOUR,42602
322,2010-01-14,4,1 HOUR,42602
323,2010-01-14,4,1 HOUR,42602
324,2010-01-15,1,1 HOUR,42602
325,2010-01-15,1,1 HOUR,42602
326,2010-01-16,3,1 HOUR,42602
327,2010-01-16,3,1 HOUR,42602
328,2010-01-17,2,1 HOUR,42602
329,2010-01-17,2,1 HOUR,42602
330,2010-01-18,11,1 HOUR,42602
331,2010-01-18,11,1 HOUR,42602
332,2010-01-19,8,1 HOUR,42602
333,2010-01-19,8,1 HOUR,42602
334,2010-01-20,5,1 HOUR,42602
335,2010-01-20,5,1 HOUR,42602
336,2010-01-21,5,1 HOUR,42602
337,2010-01-21,5,1 HOUR,42602
338,2010-01-22,3,1 HOUR,42602
339,2010-01-22,3,1 HOUR,42602
340,2010-01-23,3,1 HOUR,42602
341,2010-01-23,3,1 HOUR,42602
342,2010-01-24,7,1 HOUR,42602
343,2010-01-24,7,1 HOUR,42602
344,2010-01-25,4,1 HOUR,42602
345,2010-01-25,4,1 HOUR,42602
346,2010-01-26,7,1 HOUR,42602
347,2010-01-26,7,1 HOUR,42602
348,2010-01-27,4,1 HOUR,42602
349,2010-01-27,4,1 HOUR,42602
350,2010-01-28,4,1 HOUR,42602
351,2010-01-28,4,1 HOUR,42602
352,2010-01-29,6,1 HOUR,42602
353,2010-01-29,6,1 HOUR,42602
354,2010-01-30,17,1 HOUR,42602
355,2010-01-30,17,1 HOUR,42602
356,2010-01-31,13,1 HOUR,42602
357,2010-01-31,13,1 HOUR,42602
358,2010-02-01,3,1 HOUR,42602
359,2010-02-01,3,1 HOUR,42602
360,2010-02-02,8,1 HOUR,42602
361,2010-02-02,8,1 HOUR,42602
362,2010-02-03,9,1 HOUR,42602
363,2010-02-03,9,1 HOUR,42602
364,2010-02-04,5,1 HOUR,42602
365,2010-02-04,5,1 HOUR,42602
366,2010-02-05,2,1 HOUR,42602
367,2010-02-05,2,1 HOUR,42602
368,2010-02-06,5,1 HOUR,42602
369,2010-02-06,5,1 HOUR,42602
370,2010-02-07,5,1 HOUR,42602
371,2010-02-07,5,1 HOUR,42602
372,2010-02-08,4,1 HOUR,42602
373,2010-02-08,4,1 HOUR,42602
374,2010-02-09,4,1 HOUR,42602
375,2010-02-09,4,1 HOUR,42602
376,2010-02-10,19,1 HOUR,42602
377,2010-02-10,19,1 HOUR,42602
378,2010-02-11,6,1 HOUR,42602
379,2010-02-11,6,1 HOUR,42602
380,2010-02-12,7,1 HOUR,42602
381,2010-02-12,7,1 HOUR,42602
382,2010-02-13,5,1 HOUR,42602
383,2010-02-13,5,1 HOUR,42602
384,2010-02-14,12,1 HOUR,42602
385,2010-02-14,12,1 HOUR,42602
386,2010-02-15,13,1 HOUR,42602
387,2010-02-15,13,1 HOUR,42602
388,2010-02-16,13,1 HOUR,42602
389,2010-02-16,13,1 HOUR,42602
390,2010-02-17,10,1 HOUR,42602
391,2010-02-17,10,1 HOUR,42602
392,2010-02-18,4,1 HOUR,42602
393,2010-02-18,4,1 HOUR,42602
394,2010-02-19,6,1 HOUR,42602
